animal_id,animal_type,animal_breed,month,year,census_tract,council_district,intake_type,intake_date,outcome_type,outcome_date,chip_status,animal_origin
A1005729,DOG,CHIHUAHUA SH,AUG,2017,19016,10,OWNER SURRENDER,8/18/17,ADOPTION,8/22/17,SCAN NO CHIP,OVER THE COUNTER
A1007811,CAT,DOMESTIC SH,SEP,2017,13105,11,OWNER SURRENDER,9/7/17,ADOPTION,9/17/17,SCAN NO CHIP,OVER THE COUNTER
A0974424,DOG,PIT BULL,JAN,2017,11701,5,STRAY,1/20/17,EUTHANIZED,1/25/17,SCAN NO CHIP,FIELD
A0976101,DOG,PIT BULL,JAN,2017,8500,5,STRAY,1/25/17,EUTHANIZED,3/11/17,SCAN NO CHIP,FIELD
A0988802,CAT,DOMESTIC SH,APR,2017,8900,4,OWNER SURRENDER,4/12/17,EUTHANIZED,5/7/17,SCAN NO CHIP,OVER THE COUNTER
A0949068,DOG,CHIHUAHUA SH,MAR,2017,7811,10,STRAY,3/8/17,ADOPTION,3/18/17,SCAN CHIP,OVER THE COUNTER
A0985825,DOG,CAIRN TERRIER,MAR,2017,10903,3,STRAY,3/22/17,TRANSFER,4/4/17,SCAN NO CHIP,OVER THE COUNTER
A0989604,BIRD,OWL,APR,2017,16520,3,WILDLIFE,4/18/17,WILDLIFE,4/19/17,UNABLE TO SCAN,FIELD
A0984224,DOG,PIT BULL,MAR,2017,8603,4,OWNER SURRENDER,3/10/17,TRANSFER,3/30/17,SCAN NO CHIP,FIELD
A1003628,DOG,PIT BULL,JUL,2017,9000,7,STRAY,7/31/17,ADOPTION,8/9/17,SCAN NO CHIP,SWEEP
A0983720,DOG,DACHSHUND,MAR,2017,406,2,STRAY,3/6/17,TRANSFER,3/10/17,SCAN NO CHIP,FIELD
A0979430,DOG,CAIRN TERRIER,FEB,2017,2500,2,STRAY,2/4/17,ADOPTION,2/8/17,SCAN NO CHIP,FIELD
A0984206,DOG,SCHNAUZER STAND,MAR,2017,12301,7,STRAY,3/10/17,ADOPTION,3/15/17,SCAN NO CHIP,OVER THE COUNTER
A1003923,DOG,YORKSHIRE TERR,AUG,2017,8500,5,STRAY,8/2/17,TRANSFER,8/14/17,SCAN NO CHIP,FIELD
A0982669,DOG,FOX TERR SMOOTH,FEB,2017,4800,4,OWNER SURRENDER,2/24/17,TRANSFER,3/26/17,SCAN NO CHIP,FIELD
A0963787,DOG,LABRADOR RETR,NOV,2016,9900,6,OWNER SURRENDER,11/8/16,EUTHANIZED,11/9/16,SCAN NO CHIP,FIELD
A0981657,DOG,LABRADOR RETR,FEB,2017,11500,7,STRAY,2/17/17,EUTHANIZED,3/5/17,SCAN NO CHIP,SWEEP
A1004427,DOG,SCHIPPERKE,AUG,2017,18503,10,OWNER SURRENDER,8/7/17,ADOPTION,8/11/17,SCAN NO CHIP,FIELD
A0992906,DOG,PIT BULL,MAY,2017,6800,1,STRAY,5/11/17,EUTHANIZED,5/15/17,SCAN NO CHIP,FIELD
A0996963,DOG,YORKSHIRE TERR,JUN,2017,5400,4,STRAY,6/5/17,ADOPTION,6/9/17,SCAN NO CHIP,OVER THE COUNTER
A0982704,DOG,PIT BULL,FEB,2017,8704,3,STRAY,2/25/17,EUTHANIZED,2/25/17,SCAN NO CHIP,FIELD
A0890977,DOG,LABRADOR RETR,OCT,2016,406,2,STRAY,10/13/16,EUTHANIZED,10/24/16,SCAN CHIP,FIELD
A1000899,DOG,LABRADOR RETR,JUL,2017,9304,5,OWNER SURRENDER,7/6/17,EUTHANIZED,7/6/17,SCAN NO CHIP,SWEEP
A0986107,DOG,GERM SHEPHERD,MAR,2017,9000,5,STRAY,3/24/17,RETURNED TO OWNER,3/27/17,SCAN NO CHIP,SWEEP
A0963882,DOG,CATAHOULA,NOV,2016,9202,5,CONFISCATED,11/8/16,EUTHANIZED,11/22/16,SCAN NO CHIP,FIELD
A0988094,CAT,DOMESTIC SH,APR,2017,7102,2,STRAY,4/7/17,TRANSFER,4/8/17,SCAN NO CHIP,FIELD
A1003764,DOG,SCHNAUZER MIN,AUG,2017,12207,7,OWNER SURRENDER,8/1/17,ADOPTION,8/4/17,SCAN NO CHIP,OVER THE COUNTER
A0968560,CAT,DOMESTIC SH,DEC,2016,12500,9,OWNER SURRENDER,12/8/16,EUTHANIZED,12/11/16,SCAN NO CHIP,OVER THE COUNTER
A1009981,DOG,LABRADOR RETR,SEP,2017,5300,1,STRAY,9/30/17,EUTHANIZED,10/4/17,SCAN NO CHIP,SWEEP
A0969826,DOG,SCHIPPERKE,DEC,2016,16520,3,OWNER SURRENDER,12/17/16,ADOPTION,12/17/16,SCAN NO CHIP,OVER THE COUNTER
A0961177,CAT,DOMESTIC SH,OCT,2016,10703,6,STRAY,10/23/16,ADOPTION,11/13/16,SCAN NO CHIP,OVER THE COUNTER
A0979253,DOG,PIT BULL,FEB,2017,10902,8,CONFISCATED,2/3/17,EUTHANIZED,2/18/17,SCAN NO CHIP,FIELD
A0967886,DOG,DALMATIAN,JAN,2017,11900,5,STRAY,1/24/17,ADOPTION,2/7/17,SCAN CHIP,FIELD
A0975027,DOG,DACHSHUND,JAN,2017,16605,8,STRAY,1/21/17,TRANSFER,1/26/17,SCAN NO CHIP,OVER THE COUNTER
A1003663,DOG,CHIHUAHUA SH,JUL,2017,5700,4,STRAY,7/31/17,RETURNED TO OWNER,7/31/17,SCAN NO CHIP,SWEEP
A0457072,CAT,DOMESTIC SH,APR,2017,7819,13,OWNER SURRENDER,4/21/17,TRANSFER,4/29/17,SCAN NO CHIP,FIELD
A0992069,DOG,GERM SHEPHERD,MAY,2017,9900,6,STRAY,5/4/17,TRANSFER,5/11/17,SCAN NO CHIP,OVER THE COUNTER
A0975607,DOG,BLACK MOUTH CUR,JAN,2017,5300,1,OWNER SURRENDER,1/23/17,ADOPTION,2/11/17,SCAN NO CHIP,OVER THE COUNTER
A1007806,DOG,GERM SHEPHERD,SEP,2017,17102,8,OWNER SURRENDER,9/7/17,TRANSFER,9/23/17,SCAN NO CHIP,FIELD
A0989251,DOG,PATTERDALE TERR,APR,2017,6002,4,OWNER SURRENDER,4/15/17,ADOPTION,4/20/17,SCAN NO CHIP,OVER THE COUNTER
A0987533,DOG,BASSET HOUND,APR,2017,7201,6,OWNER SURRENDER,4/4/17,ADOPTION,4/16/17,SCAN NO CHIP,OVER THE COUNTER
A0985130,DOG,PIT BULL,MAR,2017,11800,5,STRAY,3/16/17,EUTHANIZED,3/20/17,SCAN NO CHIP,FIELD
A1009651,CAT,DOMESTIC SH,SEP,2017,6402,1,STRAY,9/27/17,TRANSFER,10/2/17,UNABLE TO SCAN,OVER THE COUNTER
A0995501,DOG,GERM SHEPHERD,MAY,2017,9202,5,OWNER SURRENDER,5/25/17,TRANSFER,5/31/17,SCAN NO CHIP,OVER THE COUNTER
A0985057,DOG,CAIRN TERRIER,MAR,2017,5901,4,STRAY,3/16/17,ADOPTION,3/23/17,SCAN NO CHIP,OVER THE COUNTER
A0995629,DOG,LABRADOR RETR,MAY,2017,6301,4,OWNER SURRENDER,5/26/17,ADOPTION,6/10/17,SCAN NO CHIP,FIELD
A0989130,CAT,DOMESTIC SH,APR,2017,4600,1,LOST REPORT,4/14/17,LOST REPORT,4/25/17,UNABLE TO SCAN,OVER THE COUNTER
A0965346,DOG,MASTIFF,NOV,2016,9104,5,STRAY,11/16/16,RETURNED TO OWNER,11/18/16,SCAN CHIP,FIELD
A0975424,DOG,RAT TERRIER,JAN,2017,20500,6,OWNER SURRENDER,1/23/17,ADOPTION,1/29/17,SCAN NO CHIP,OVER THE COUNTER
A1004431,CAT,DOMESTIC MH,AUG,2017,12601,9,STRAY,8/7/17,EUTHANIZED,8/13/17,SCAN NO CHIP,FIELD
A0712219,DOG,GERM SHEPHERD,NOV,2016,16701,8,OWNER SURRENDER,11/4/16,EUTHANIZED,11/4/16,SCAN CHIP,OVER THE COUNTER
A0973011,DOG,MALTESE,JAN,2017,4900,4,STRAY,1/11/17,TRANSFER,1/16/17,SCAN NO CHIP,FIELD
A1009769,DOG,BASSET HOUND,SEP,2017,7804,10,STRAY,9/28/17,RETURNED TO OWNER,9/30/17,SCAN NO CHIP,FIELD
A0960322,CAT,DOMESTIC LH,OCT,2016,9202,5,OWNER SURRENDER,10/18/16,EUTHANIZED,10/18/16,SCAN NO CHIP,OVER THE COUNTER
A0964807,DOG,BOXER,NOV,2016,9202,5,STRAY,11/13/16,RETURNED TO OWNER,11/14/16,SCAN CHIP,FIELD
A1003881,DOG,SHIH TZU,AUG,2017,11800,5,STRAY,8/2/17,TRANSFER,8/7/17,SCAN NO CHIP,FIELD
A0984510,DOG,PIT BULL,APR,2017,20500,6,OWNER SURRENDER,4/6/17,EUTHANIZED,4/8/17,SCAN CHIP,OVER THE COUNTER
A0981988,DOG,CHIHUAHUA SH,FEB,2017,75126,26,FOUND REPORT,2/21/17,FOUND REPORT,2/24/17,UNABLE TO SCAN,OVER THE COUNTER
A0964159,DOG,PIT BULL,NOV,2016,8900,4,STRAY,11/9/16,EUTHANIZED,11/13/16,SCAN NO CHIP,FIELD
A0992076,CAT,DOMESTIC SH,MAY,2017,13010,9,OWNER SURRENDER,5/4/17,TRANSFER,5/5/17,SCAN NO CHIP,OVER THE COUNTER
A0983263,DOG,LABRADOR RETR,MAR,2017,9103,5,STRAY,3/2/17,ADOPTION,3/8/17,SCAN NO CHIP,FIELD
A0970876,DOG,CHIHUAHUA SH,DEC,2016,16510,3,OWNER SURRENDER,12/26/16,ADOPTION,12/31/16,SCAN NO CHIP,OVER THE COUNTER
A1006059,DOG,PIT BULL,AUG,2017,10804,3,OWNER SURRENDER,8/23/17,EUTHANIZED,8/23/17,SCAN NO CHIP,FIELD
A0989706,DOG,PEKINGESE,APR,2017,12210,7,STRAY,4/19/17,TRANSFER,4/30/17,SCAN NO CHIP,OVER THE COUNTER
A0999256,CAT,DOMESTIC SH,JUN,2017,6900,1,STRAY,6/21/17,EUTHANIZED,6/21/17,SCAN NO CHIP,OVER THE COUNTER
A0983646,DOG,PIT BULL,MAR,2017,20500,6,STRAY,3/6/17,TRANSFER,3/7/17,SCAN NO CHIP,OVER THE COUNTER
A1000372,DOG,GERM SHEPHERD,JUL,2017,9000,5,OWNER SURRENDER,7/1/17,EUTHANIZED,7/1/17,SCAN NO CHIP,OVER THE COUNTER
A0976360,DOG,CHIHUAHUA SH,JAN,2017,10701,6,STRAY,1/25/17,RETURNED TO OWNER,1/25/17,SCAN NO CHIP,SWEEP
A0996747,DOG,GERM SHEPHERD,JUN,2017,10601,6,STRAY,6/3/17,EUTHANIZED,6/7/17,SCAN NO CHIP,OVER THE COUNTER
A0991813,WILDLIFE,OPOSSUM,MAY,2017,7601,13,WILDLIFE,5/2/17,WILDLIFE,5/2/17,UNABLE TO SCAN,FIELD
A0972661,DOG,PIT BULL,JAN,2017,11900,5,STRAY,1/9/17,ADOPTION,1/23/17,SCAN NO CHIP,FIELD
A0978258,CAT,DOMESTIC SH,JAN,2017,11300,8,STRAY,1/31/17,EUTHANIZED,1/31/17,SCAN NO CHIP,FIELD
A0990137,DOG,GERM SHEPHERD,APR,2017,5700,4,STRAY,4/22/17,EUTHANIZED,4/22/17,SCAN NO CHIP,OVER THE COUNTER
A0970620,DOG,POODLE TOY,DEC,2016,10904,8,OWNER SURRENDER,12/23/16,ADOPTION,12/23/16,SCAN CHIP,OVER THE COUNTER
A0999802,CAT,DOMESTIC SH,JUN,2017,406,2,STRAY,6/26/17,EUTHANIZED,6/26/17,SCAN NO CHIP,OVER THE COUNTER
A1008283,DOG,GERM SHEPHERD,SEP,2017,11602,8,STRAY,9/13/17,ADOPTION,9/19/17,SCAN NO CHIP,FIELD
A1005620,CAT,DOMESTIC MH,AUG,2017,10805,3,OWNER SURRENDER,8/17/17,ADOPTION,8/19/17,SCAN NO CHIP,OVER THE COUNTER
A0982727,DOG,PIT BULL,FEB,2017,8802,4,STRAY,2/25/17,EUTHANIZED,2/25/17,SCAN NO CHIP,OVER THE COUNTER
A0962851,DOG,DACHSHUND,NOV,2016,20500,6,STRAY,11/3/16,TRANSFER,11/9/16,SCAN NO CHIP,OVER THE COUNTER
A0992813,CAT,DOMESTIC SH,MAY,2017,20500,6,OWNER SURRENDER,5/10/17,EUTHANIZED,5/10/17,SCAN NO CHIP,OVER THE COUNTER
A0998932,DOG,LABRADOR RETR,JUN,2017,6800,1,STRAY,6/17/17,EUTHANIZED,7/8/17,SCAN NO CHIP,FIELD
A0968238,CAT,DOMESTIC SH,DEC,2016,2100,14,STRAY,12/6/16,EUTHANIZED,12/6/16,SCAN NO CHIP,OVER THE COUNTER
A1004790,DOG,PIT BULL,AUG,2017,405,2,STRAY,8/11/17,ADOPTION,8/19/17,SCAN NO CHIP,FIELD
A0998143,DOG,GERM SHEPHERD,JUN,2017,6502,3,STRAY,6/12/17,EUTHANIZED,6/16/17,SCAN CHIP,OVER THE COUNTER
A0986154,DOG,PIT BULL,MAR,2017,1703,14,STRAY,3/24/17,ADOPTION,3/29/17,SCAN NO CHIP,FIELD
A0964960,CAT,DOMESTIC SH,NOV,2016,10703,6,STRAY,11/14/16,FOSTER,11/14/16,SCAN NO CHIP,OVER THE COUNTER
A0982502,DOG,SCHNAUZER STAND,FEB,2017,10101,6,STRAY,2/23/17,RETURNED TO OWNER,2/27/17,SCAN NO CHIP,SWEEP
A0960336,CAT,DOMESTIC SH,OCT,2016,19034,10,STRAY,10/18/16,TRANSFER,11/2/16,SCAN NO CHIP,FIELD
A0999496,CAT,SIAMESE,JUN,2017,12702,9,STRAY,6/23/17,TRANSFER,7/7/17,SCAN NO CHIP,FIELD
A0964603,DOG,GOLDEN RETR,NOV,2016,2500,2,OWNER SURRENDER,11/17/16,ADOPTION,11/20/16,SCAN CHIP,OVER THE COUNTER
A1007489,DOG,DACHSHUND,SEP,2017,4800,4,OWNER SURRENDER,9/5/17,ADOPTION,9/16/17,SCAN NO CHIP,FIELD
A0964714,CAT,DOMESTIC SH,NOV,2016,500,14,STRAY,11/12/16,TRANSFER,11/13/16,SCAN NO CHIP,FIELD
A0971716,DOG,GREAT PYRENEES,JAN,2017,11002,4,OWNER SURRENDER,1/2/17,RETURNED TO OWNER,1/4/17,SCAN CHIP,OVER THE COUNTER
A1001533,CAT,RUSSIAN BLUE,SEP,2017,7819,13,OWNER SURRENDER,9/2/17,ADOPTION,9/3/17,SCAN CHIP,OVER THE COUNTER
A1007242,CAT,DOMESTIC MH,SEP,2017,21616,12,STRAY,9/2/17,EUTHANIZED,9/2/17,SCAN NO CHIP,OVER THE COUNTER
A1004716,CAT,DOMESTIC SH,AUG,2017,21637,12,OWNER SURRENDER,8/10/17,EUTHANIZED,8/11/17,SCAN CHIP,OVER THE COUNTER
A0967978,DOG,CHIHUAHUA SH,DEC,2016,16520,3,OWNER SURRENDER,12/5/16,TRANSFER,12/6/16,SCAN NO CHIP,OVER THE COUNTER
A0946088,DOG,LABRADOR RETR,APR,2017,12900,9,CONFISCATED,4/13/17,EUTHANIZED,4/23/17,SCAN CHIP,FIELD
A0958440,DOG,WELSH CORGI CAR,OCT,2016,NA,NA,LOST REPORT,10/5/16,LOST REPORT,10/18/16,UNABLE TO SCAN,OVER THE COUNTER
A0983411,DOG,CHIHUAHUA SH,SEP,2017,75216,16,FOUND REPORT,9/27/17,OTHER,NA,UNABLE TO SCAN,OVER THE COUNTER
A0979232,DOG,SHIH TZU,FEB,2017,16510,3,LOST REPORT,2/2/17,LOST REPORT,2/13/17,UNABLE TO SCAN,OVER THE COUNTER
A0968524,DOG,SCHNAUZER STAND,DEC,2016,1302,14,OWNER SURRENDER,12/7/16,ADOPTION,12/9/16,SCAN NO CHIP,OVER THE COUNTER
A0958299,CAT,DOMESTIC SH,OCT,2016,31714,12,FOUND REPORT,10/4/16,FOUND REPORT,10/18/16,SCAN NO CHIP,OVER THE COUNTER
A1001880,DOG,SHIH TZU,JUL,2017,9304,8,STRAY,7/14/17,TRANSFER,7/18/17,SCAN NO CHIP,FIELD
A1001494,DOG,LABRADOR RETR,JUL,2017,9900,6,STRAY,7/11/17,RETURNED TO OWNER,7/13/17,SCAN NO CHIP,OVER THE COUNTER
A1006950,CAT,DOMESTIC SH,AUG,2017,4800,1,STRAY,8/31/17,TRANSFER,9/1/17,SCAN NO CHIP,OVER THE COUNTER
A0973721,DOG,GERM SHEPHERD,JAN,2017,8801,4,STRAY,1/17/17,TRANSFER,1/30/17,SCAN CHIP,OVER THE COUNTER
A0997610,DOG,DACHSHUND,JUN,2017,6001,4,OWNER SURRENDER,6/8/17,DEAD ON ARRIVAL,6/8/17,SCAN NO CHIP,OVER THE COUNTER
A0979841,DOG,TOY FOX TERRIER,FEB,2017,20500,6,OWNER SURRENDER,2/20/17,TRANSFER,3/1/17,SCAN CHIP,OVER THE COUNTER
A0960630,CAT,DOMESTIC SH,OCT,2016,4600,1,STRAY,10/19/16,TRANSFER,11/8/16,SCAN NO CHIP,OVER THE COUNTER
A0960558,DOG,CHINESE SHARPEI,OCT,2016,9301,5,STRAY,10/19/16,EUTHANIZED,10/23/16,SCAN NO CHIP,SWEEP
A1008931,DOG,CHIHUAHUA SH,SEP,2017,2500,2,STRAY,9/20/17,ADOPTION,9/29/17,SCAN NO CHIP,SWEEP
A0961509,DOG,RAT TERRIER,OCT,2016,3902,7,STRAY,10/25/16,TRANSFER,11/6/16,SCAN CHIP,OVER THE COUNTER
A0915779,CAT,DOMESTIC LH,DEC,2016,75230,30,LOST REPORT,12/20/16,LOST REPORT,1/3/17,UNABLE TO SCAN,OVER THE COUNTER
A0962958,DOG,PIT BULL,NOV,2016,6002,4,STRAY,11/3/16,EUTHANIZED,11/3/16,SCAN NO CHIP,FIELD
A0992881,DOG,GERM SHEPHERD,MAY,2017,20500,6,OWNER SURRENDER,5/20/17,ADOPTION,5/21/17,SCAN CHIP,OVER THE COUNTER
A0982709,DOG,PIT BULL,FEB,2017,9303,5,STRAY,2/25/17,EUTHANIZED,3/6/17,SCAN NO CHIP,FIELD
A0991693,CAT,DOMESTIC SH,MAY,2017,20500,6,STRAY,5/2/17,TRANSFER,5/4/17,SCAN NO CHIP,OVER THE COUNTER
A0972519,DOG,WELSH CORGI CAR,JAN,2017,5901,4,OWNER SURRENDER,1/7/17,ADOPTION,1/10/17,SCAN NO CHIP,OVER THE COUNTER
A1009281,DOG,PIT BULL,SEP,2017,20300,7,STRAY,9/24/17,OTHER,NA,SCAN NO CHIP,FIELD
A1001006,DOG,ALASKAN HUSKY,JUL,2017,4000,7,STRAY,7/6/17,ADOPTION,7/10/17,SCAN NO CHIP,FIELD
A0964915,CAT,DOMESTIC SH,NOV,2016,11002,4,STRAY,11/14/16,TRANSFER,11/17/16,UNABLE TO SCAN,OVER THE COUNTER
A0985435,DOG,GREAT DANE,MAR,2017,6002,4,OWNER SURRENDER,3/19/17,EUTHANIZED,3/20/17,SCAN NO CHIP,FIELD
A1003955,DOG,POINTER,AUG,2017,11900,5,STRAY,8/2/17,EUTHANIZED,8/6/17,SCAN NO CHIP,FIELD
A0993545,CAT,DOMESTIC SH,MAY,2017,11103,3,STRAY,5/15/17,TRANSFER,5/21/17,SCAN NO CHIP,OVER THE COUNTER
A0971596,DOG,GERM SHEPHERD,DEC,2016,12000,7,STRAY,12/31/16,EUTHANIZED,12/31/16,SCAN NO CHIP,OVER THE COUNTER
A0990626,CAT,DOMESTIC SH,APR,2017,19018,10,STRAY,4/25/17,ADOPTION,5/5/17,SCAN CHIP,OVER THE COUNTER
A0962040,DOG,CHIHUAHUA SH,OCT,2016,2400,2,OWNER SURRENDER,10/28/16,ADOPTION,11/4/16,SCAN NO CHIP,OVER THE COUNTER
A1000833,CAT,DOMESTIC SH,JUL,2017,9000,7,STRAY,7/5/17,ADOPTION,7/14/17,SCAN NO CHIP,OVER THE COUNTER
A1003622,DOG,DOBERMAN PINSCH,JUL,2017,8701,4,STRAY,7/30/17,ADOPTION,8/9/17,SCAN NO CHIP,FIELD
A0995796,WILDLIFE,RACCOON,MAY,2017,31706,12,WILDLIFE,5/28/17,EUTHANIZED,5/28/17,SCAN NO CHIP,FIELD
A0973862,DOG,CHIHUAHUA SH,MAY,2017,17003,8,STRAY,5/11/17,RETURNED TO OWNER,5/13/17,SCAN CHIP,SWEEP
A0972401,DOG,SHIH TZU,JAN,2017,4201,1,STRAY,1/6/17,TRANSFER,1/10/17,SCAN NO CHIP,OVER THE COUNTER
A0969407,DOG,LABRADOR RETR,DEC,2016,11002,4,STRAY,12/13/16,TRANSFER,12/20/16,SCAN NO CHIP,FIELD
A0995849,DOG,GERM SHEPHERD,MAY,2017,11300,8,OWNER SURRENDER,5/29/17,EUTHANIZED,5/29/17,SCAN CHIP,FIELD
A0989256,DOG,DOBERMAN PINSCH,APR,2017,11701,5,OWNER SURRENDER,4/15/17,TRANSFER,4/18/17,SCAN NO CHIP,OVER THE COUNTER
A0956941,DOG,PIT BULL,OCT,2016,2000,1,OWNER SURRENDER,10/4/16,EUTHANIZED,10/16/16,SCAN CHIP,OVER THE COUNTER
A0861752,DOG,CHOW CHOW,JUL,2017,9402,6,OWNER SURRENDER,7/15/17,EUTHANIZED,7/25/17,SCAN CHIP,FIELD
A0959076,DOG,PIT BULL,OCT,2016,8400,7,STRAY,10/9/16,EUTHANIZED,10/13/16,UNABLE TO SCAN,FIELD
A0970242,DOG,GERM SHEPHERD,DEC,2016,11701,5,STRAY,12/21/16,TRANSFER,1/8/17,SCAN NO CHIP,SWEEP
A0984327,DOG,PIT BULL,MAR,2017,13626,11,CONFISCATED,3/11/17,EUTHANIZED,3/26/17,SCAN CHIP,OVER THE COUNTER
A1002364,DOG,GERM SHEPHERD,JUL,2017,9303,5,STRAY,7/19/17,EUTHANIZED,7/23/17,SCAN NO CHIP,SWEEP
A0960158,CAT,DOMESTIC SH,DEC,2016,1600,14,OWNER SURRENDER,12/28/16,ADOPTION,1/3/17,SCAN CHIP,OVER THE COUNTER
A1008773,DOG,PIT BULL,SEP,2017,16520,3,STRAY,9/18/17,EUTHANIZED,10/5/17,SCAN NO CHIP,FIELD
A1003154,DOG,LABRADOR RETR,JUL,2017,75206,6,LOST REPORT,7/26/17,LOST REPORT,7/26/17,UNABLE TO SCAN,OVER THE COUNTER
A0834858,DOG,PIT BULL,JUL,2017,12206,7,OWNER SURRENDER,7/8/17,RETURNED TO OWNER,7/11/17,SCAN CHIP,SWEEP
A0979867,CAT,DOMESTIC SH,FEB,2017,980100,2,STRAY,2/7/17,TRANSFER,2/13/17,SCAN NO CHIP,FIELD
A0984135,DOG,LABRADOR RETR,MAR,2017,5300,1,STRAY,3/9/17,ADOPTION,3/13/17,SCAN NO CHIP,OVER THE COUNTER
A0976178,DOG,DACHSHUND,JAN,2017,17101,8,STRAY,1/25/17,RETURNED TO OWNER,1/30/17,SCAN NO CHIP,SWEEP
A1001027,CAT,DOMESTIC SH,JUL,2017,13620,11,STRAY,7/7/17,TRANSFER,7/18/17,SCAN NO CHIP,FIELD
A0969843,DOG,PIT BULL,DEC,2016,11101,8,STRAY,12/17/16,ADOPTION,12/23/16,SCAN NO CHIP,OVER THE COUNTER
A0961399,CAT,DOMESTIC MH,OCT,2016,10101,6,OWNER SURRENDER,10/24/16,ADOPTION,10/29/16,SCAN NO CHIP,OVER THE COUNTER
A0999730,CAT,DOMESTIC SH,JUN,2017,12208,9,OWNER SURRENDER,6/25/17,EUTHANIZED,6/28/17,SCAN NO CHIP,OVER THE COUNTER
A0973474,DOG,CHIHUAHUA LH,JAN,2017,6301,4,STRAY,1/14/17,TRANSFER,1/19/17,SCAN NO CHIP,OVER THE COUNTER
A0999887,DOG,SHIH TZU,JUN,2017,10601,6,STRAY,6/27/17,RETURNED TO OWNER,6/30/17,SCAN NO CHIP,SWEEP
A0962956,CAT,DOMESTIC SH,NOV,2016,12302,7,OWNER SURRENDER,11/3/16,ADOPTION,11/9/16,SCAN NO CHIP,OVER THE COUNTER
A0993955,DOG,POINTER,MAY,2017,11702,8,STRAY,5/16/17,EUTHANIZED,5/20/17,SCAN NO CHIP,FIELD
A0988839,CAT,DOMESTIC SH,APR,2017,6200,4,OWNER SURRENDER,4/12/17,DEAD ON ARRIVAL,4/12/17,SCAN NO CHIP,FIELD
A1008228,CAT,DOMESTIC SH,SEP,2017,10101,6,STRAY,9/12/17,TRANSFER,9/13/17,SCAN NO CHIP,OVER THE COUNTER
A0998667,CAT,DOMESTIC SH,JUN,2017,8500,5,STRAY,6/15/17,TRANSFER,6/19/17,SCAN NO CHIP,FIELD
A0980386,DOG,BOXER,FEB,2017,8400,7,STRAY,2/9/17,ADOPTION,2/15/17,SCAN CHIP,FIELD
A1006866,DOG,LABRADOR RETR,AUG,2017,5902,4,STRAY,8/30/17,TRANSFER,9/5/17,SCAN NO CHIP,OVER THE COUNTER
A0994183,DOG,AUST SHEPHERD,MAY,2017,5902,4,STRAY,5/17/17,TRANSFER,5/21/17,SCAN NO CHIP,FIELD
A0968515,DOG,YORKSHIRE TERR,DEC,2016,6401,1,STRAY,12/7/16,EUTHANIZED,12/7/16,SCAN NO CHIP,OVER THE COUNTER
A0863560,DOG,CHOW CHOW,APR,2017,8400,5,STRAY,4/22/17,RETURNED TO OWNER,4/22/17,SCAN CHIP,SWEEP
A0972775,DOG,CHIHUAHUA SH,JAN,2017,1204,2,STRAY,1/9/17,TRANSFER,1/13/17,SCAN NO CHIP,OVER THE COUNTER
A0990452,DOG,GERM SHEPHERD,APR,2017,2500,2,OWNER SURRENDER,4/24/17,TRANSFER,4/30/17,SCAN NO CHIP,FIELD
A0876321,DOG,ROTTWEILER,MAY,2017,20500,6,OWNER SURRENDER,5/23/17,EUTHANIZED,5/31/17,SCAN CHIP,OVER THE COUNTER
A1007425,DOG,AMERICAN STAFF,SEP,2017,4500,1,STRAY,9/5/17,TRANSFER,9/5/17,SCAN NO CHIP,OVER THE COUNTER
A0972787,DOG,PIT BULL,JAN,2017,9202,5,OWNER SURRENDER,1/9/17,EUTHANIZED,1/10/17,SCAN NO CHIP,FIELD
A1009801,CAT,DOMESTIC SH,SEP,2017,10804,1,STRAY,9/28/17,OTHER,NA,SCAN NO CHIP,OVER THE COUNTER
A0983551,DOG,ALASKAN HUSKY,MAR,2017,406,2,STRAY,3/5/17,RETURNED TO OWNER,3/7/17,SCAN NO CHIP,FIELD
A1005371,DOG,CHIHUAHUA LH,AUG,2017,10804,3,STRAY,8/15/17,TRANSFER,8/20/17,SCAN NO CHIP,FIELD
A0977437,DOG,GERM SHEPHERD,JAN,2017,1203,2,OWNER SURRENDER,1/27/17,TRANSFER,1/27/17,SCAN NO CHIP,OVER THE COUNTER
A0999987,DOG,GERM SHEPHERD,JUN,2017,5400,4,STRAY,6/28/17,TRANSFER,7/3/17,SCAN NO CHIP,FIELD
A0781771,DOG,BASSET HOUND,JUL,2017,4500,1,OWNER SURRENDER,7/7/17,EUTHANIZED,7/7/17,SCAN CHIP,OVER THE COUNTER
A0989295,DOG,GERM SHEPHERD,APR,2017,6301,4,STRAY,4/16/17,ADOPTION,4/20/17,SCAN NO CHIP,FIELD
A0990525,DOG,PIT BULL,APR,2017,7825,10,STRAY,4/25/17,ADOPTION,4/29/17,SCAN NO CHIP,OVER THE COUNTER
A0974281,DOG,GERM SHEPHERD,JAN,2017,9000,5,STRAY,1/19/17,RETURNED TO OWNER,1/20/17,SCAN NO CHIP,FIELD
A0987940,DOG,PIT BULL,APR,2017,7201,2,STRAY,4/7/17,RETURNED TO OWNER,4/10/17,SCAN NO CHIP,FIELD
A1005052,DOG,CAIRN TERRIER,AUG,2017,12209,9,FOUND REPORT,8/14/17,FOUND REPORT,8/25/17,UNABLE TO SCAN,OVER THE COUNTER
